Tag category,Tag field
,?
79,80
,
Entry_interview,Sf_category
Entry_interview,Sf_framecode
Entry_interview,Entry_ID
Entry_interview,Sf_ID
Entry_interview,ID
Entry_interview,PDB_deposition
Entry_interview,BMRB_deposition
Entry_interview,View_mode
Entry_interview,Use_previous_BMRB_entry
Entry_interview,Previous_BMRB_entry_used
Entry_interview,Previous_BMRB_entry_owner
Entry_interview,Structural_genomics
Entry_interview,Ligands
Entry_interview,Non_standard_residues
Entry_interview,Constraints
Entry_interview,Assigned_chem_shifts
Entry_interview,Coupling_constants
Entry_interview,Auto_relaxation
Entry_interview,Tensor
Entry_interview,Interatomic_distance
Entry_interview,Chem_shift_anisotropy
Entry_interview,Heteronucl_NOEs
Entry_interview,Heteronucl_T1_relaxation
Entry_interview,Heteronucl_T2_relaxation
Entry_interview,Heteronucl_T1rho_relaxation
Entry_interview,Order_parameters
Entry_interview,Dynamics_trajectory
Entry_interview,Movie
Entry_interview,Residual_dipolar_couplings
Entry_interview,H_exchange_rate
Entry_interview,H_exchange_protection_factors
Entry_interview,Chem_rate_constants
Entry_interview,Spectral_peak_lists
Entry_interview,Dipole_dipole_couplings
Entry_interview,Quadrupolar_couplings
Entry_interview,Homonucl_NOEs
Entry_interview,Dipole_dipole_relaxation
Entry_interview,DD_cross_correlation
Entry_interview,Dipole_CSA_cross_correlation
Entry_interview,Binding_constants
Entry_interview,PKa_value_data_set
Entry_interview,D_H_fractionation_factors
Entry_interview,Theoretical_chem_shifts
Entry_interview,Theoretical_coupling_constants
Entry_interview,Theoretical_heteronucl_NOEs
Entry_interview,Theoretical_T1_relaxation
Entry_interview,Theoretical_T2_relaxation
Entry_interview,Theoretical_auto_relaxation
Entry_interview,Theoretical_DD_cross_correlation
Entry_interview,Spectral_density_values
Entry_interview,Timedomain_data
Entry_interview,Molecular_interactions
Entry_interview,Secondary_structure_orientations
Entry_interview,Metabolite_coordinates
Entry_interview,Mass_spec_data
Entry_interview,Other_kind_of_data
Deposited_data_files,Sf_category
Deposited_data_files,Sf_framecode
Deposited_data_files,Entry_ID
Deposited_data_files,Sf_ID
Deposited_data_files,ID
Deposited_data_files,Atomic_coordinate_file_name
Deposited_data_files,Atomic_coordinate_file_syntax
Deposited_data_files,Constraint_file_name
Deposited_data_files,Constraint_file_syntax
Deposited_data_files,Precheck_flag
Deposited_data_files,Validate_flag
Upload_data,Data_file_ID
Upload_data,Data_file_name
Upload_data,Data_file_content_type
Upload_data,Data_file_Sf_category
Upload_data,Data_file_syntax
Upload_data,Data_file_immutable_flag
Upload_data,Sf_ID
Upload_data,Entry_ID
Upload_data,Deposited_data_files_ID
Study_list,Sf_category
Study_list,Sf_framecode
Study_list,Entry_ID
Study_list,Sf_ID
Study_list,ID
Study,ID
Study,Name
Study,Type
Study,Details
Study,Sf_ID
Study,Entry_ID
Study,Study_list_ID
Study_keyword,Study_ID
Study_keyword,Keyword
Study_keyword,Sf_ID
Study_keyword,Entry_ID
Study_keyword,Study_list_ID
Study_entry_list,Study_ID
Study_entry_list,BMRB_accession_code
Study_entry_list,BMRB_entry_description
Study_entry_list,Details
Study_entry_list,Sf_ID
Study_entry_list,Entry_ID
Study_entry_list,Study_list_ID
Entry,Sf_category
Entry,Sf_framecode
Entry,Sf_ID
Entry,ID
Entry,Title
Entry,Type
Entry,Version_type
Entry,Submission_date
Entry,Accession_date
Entry,Last_release_date
Entry,Original_release_date
Entry,Origination
Entry,Format_name
Entry,NMR_STAR_version
Entry,Original_NMR_STAR_version
Entry,Experimental_method
Entry,Experimental_method_subtype
Entry,Source_data_format
Entry,Source_data_format_version
Entry,Generated_software_name
Entry,Generated_software_version
Entry,Generated_software_ID
Entry,Generated_software_label
Entry,Generated_date
Entry,DOI
Entry,UUID
Entry,Related_coordinate_file_name
Entry,Dep_release_code_coordinates
Entry,Dep_release_code_nmr_constraints
Entry,Dep_release_code_chemical_shifts
Entry,Dep_release_code_nmr_exptl
Entry,Dep_release_code_sequence
Entry,CASP_target
Entry,Details
Entry,Special_processing_instructions
Entry,Update_BMRB_accession_code
Entry,Replace_BMRB_accession_code
Entry,Update_PDB_accession_code
Entry,Replace_PDB_accession_code
Entry,PDB_coordinate_file_version
Entry,BMRB_update_details
Entry,PDB_update_details
Entry,Release_request
Entry,Release_date_request
Entry,Release_date_justification
Entry,Status_code
Entry,Recvd_deposit_form
Entry,Date_deposition_form
Entry,Recvd_coordinates
Entry,Date_coordinates
Entry,Recvd_nmr_constraints
Entry,Date_nmr_constraints
Entry,Recvd_chemical_shifts
Entry,Date_chemical_shifts
Entry,Recvd_manuscript
Entry,Date_manuscript
Entry,Recvd_author_approval
Entry,Date_author_approval
Entry,Recvd_initial_deposition_date
Entry,PDB_date_submitted
Entry,Author_release_status_code
Entry,Date_of_PDB_release
Entry,Date_hold_coordinates
Entry,Date_hold_nmr_constraints
Entry,Date_hold_chemical_shifts
Entry,PDB_deposit_site
Entry,PDB_process_site
Entry,BMRB_deposit_site
Entry,BMRB_process_site
Entry,BMRB_annotator
Entry,BMRB_internal_directory_name
Entry,RCSB_annotator
Entry,Author_approval_type
Entry,Assigned_BMRB_ID
Entry,Assigned_BMRB_deposition_code
Entry,Assigned_PDB_ID
Entry,Assigned_PDB_deposition_code
Entry,Assigned_restart_ID
Entry_experimental_methods,ID
Entry_experimental_methods,Method
Entry_experimental_methods,Subtype
Entry_experimental_methods,Sf_ID
Entry_experimental_methods,Entry_ID
Entry_proc_cycle,Cycle_ID
Entry_proc_cycle,Date_begin_cycle
Entry_proc_cycle,Date_end_cycle
Entry_proc_cycle,Details
Entry_proc_cycle,Sf_ID
Entry_proc_cycle,Entry_ID
Entry_prerelease_seq,Entity_ID
Entry_prerelease_seq,Entity_label
Entry_prerelease_seq,Seq_one_letter_code
Entry_prerelease_seq,Sf_ID
Entry_prerelease_seq,Entry_ID
Contact_person,ID
Contact_person,Email_address
Contact_person,ORCID
Contact_person,Name_salutation
Contact_person,Given_name
Contact_person,Family_name
Contact_person,Middle_initials
Contact_person,Family_title
Contact_person,Department_and_institution
Contact_person,Mailing_address
Contact_person,Address_1
Contact_person,Address_2
Contact_person,Address_3
Contact_person,City
Contact_person,State_province
Contact_person,Country
Contact_person,Postal_code
Contact_person,Phone_number
Contact_person,FAX_number
Contact_person,Role
Contact_person,Organization_type
Contact_person,Sf_ID
Contact_person,Entry_ID
Entry_author,Ordinal
Entry_author,Given_name
Entry_author,Family_name
Entry_author,First_initial
Entry_author,Middle_initials
Entry_author,Family_title
Entry_author,ORCID
Entry_author,Sf_ID
Entry_author,Entry_ID
